timestamp,file,accuracy,note
2026-07-24T17:11:00.379Z,red-screwdrivers.jpg,0.868852,verify-tuned
2026-07-24T17:11:24.999Z,mean,0.748957,shadow-peel-v1
2026-07-24T17:11:24.999Z,knifes.jpg,0.511873,shadow-peel-v1
2026-07-24T17:11:24.999Z,nose-plier.jpg,0.730059,shadow-peel-v1
2026-07-24T17:11:24.999Z,precision-screwdrivers.jpg,0.885043,shadow-peel-v1
2026-07-24T17:11:24.999Z,red-screwdrivers.jpg,0.868852,shadow-peel-v1
2026-07-24T17:12:04.802Z,mean,0.810984,grid-tight
2026-07-24T17:12:04.802Z,knifes.jpg,0.839667,grid-tight
2026-07-24T17:12:04.802Z,nose-plier.jpg,0.778578,grid-tight
2026-07-24T17:12:04.802Z,precision-screwdrivers.jpg,0.724439,grid-tight
2026-07-24T17:12:04.802Z,red-screwdrivers.jpg,0.901254,grid-tight
2026-07-24T17:14:13.992Z,mean,0.768584,grid-balanced
2026-07-24T17:14:13.992Z,knifes.jpg,0.634170,grid-balanced
2026-07-24T17:14:13.992Z,nose-plier.jpg,0.770593,grid-balanced
2026-07-24T17:14:13.992Z,precision-screwdrivers.jpg,0.789646,grid-balanced
2026-07-24T17:14:13.992Z,red-screwdrivers.jpg,0.879925,grid-balanced
2026-07-24T17:16:34.321Z,mean,0.578361,shadow-peel-v1
2026-07-24T17:16:34.321Z,knifes.jpg,0.347933,shadow-peel-v1
2026-07-24T17:16:34.321Z,nose-plier.jpg,0.334216,shadow-peel-v1
2026-07-24T17:16:34.321Z,precision-screwdrivers.jpg,0.817327,shadow-peel-v1
2026-07-24T17:16:34.321Z,red-screwdrivers.jpg,0.813966,shadow-peel-v1
2026-07-24T17:16:34.368Z,mean,0.578361,verify-tuned
2026-07-24T17:16:34.368Z,knifes.jpg,0.347933,verify-tuned
2026-07-24T17:16:34.368Z,nose-plier.jpg,0.334216,verify-tuned
2026-07-24T17:16:34.368Z,precision-screwdrivers.jpg,0.817327,verify-tuned
2026-07-24T17:16:34.368Z,red-screwdrivers.jpg,0.813966,verify-tuned
2026-07-24T17:16:46.075Z,mean,0.578361,roi-grabcut-v1
2026-07-24T17:16:46.075Z,knifes.jpg,0.347933,roi-grabcut-v1
2026-07-24T17:16:46.075Z,nose-plier.jpg,0.334216,roi-grabcut-v1
2026-07-24T17:16:46.075Z,precision-screwdrivers.jpg,0.817327,roi-grabcut-v1
2026-07-24T17:16:46.075Z,red-screwdrivers.jpg,0.813966,roi-grabcut-v1
2026-07-24T17:17:46.997Z,mean,0.706639,verify-tuned
2026-07-24T17:17:46.997Z,knifes.jpg,0.651591,verify-tuned
2026-07-24T17:17:46.997Z,nose-plier.jpg,0.782051,verify-tuned
2026-07-24T17:17:46.997Z,precision-screwdrivers.jpg,0.602076,verify-tuned
2026-07-24T17:17:46.997Z,red-screwdrivers.jpg,0.790838,verify-tuned
2026-07-24T17:17:47.222Z,mean,0.706639,roi-grabcut-v1
2026-07-24T17:17:47.222Z,knifes.jpg,0.651591,roi-grabcut-v1
2026-07-24T17:17:47.222Z,nose-plier.jpg,0.782051,roi-grabcut-v1
2026-07-24T17:17:47.222Z,precision-screwdrivers.jpg,0.602076,roi-grabcut-v1
2026-07-24T17:17:47.222Z,red-screwdrivers.jpg,0.790838,roi-grabcut-v1
2026-07-24T17:18:53.347Z,mean,0.706639,dual-pass-v1
2026-07-24T17:18:53.347Z,knifes.jpg,0.651591,dual-pass-v1
2026-07-24T17:18:53.347Z,nose-plier.jpg,0.782051,dual-pass-v1
2026-07-24T17:18:53.347Z,precision-screwdrivers.jpg,0.602076,dual-pass-v1
2026-07-24T17:18:53.347Z,red-screwdrivers.jpg,0.790838,dual-pass-v1
2026-07-24T17:19:44.486Z,mean,0.813670,dual-pass-v1
2026-07-24T17:19:44.486Z,knifes.jpg,0.839792,dual-pass-v1
2026-07-24T17:19:44.486Z,nose-plier.jpg,0.781155,dual-pass-v1
2026-07-24T17:19:44.486Z,precision-screwdrivers.jpg,0.732161,dual-pass-v1
2026-07-24T17:19:44.486Z,red-screwdrivers.jpg,0.901571,dual-pass-v1
2026-07-24T17:19:44.532Z,mean,0.813670,verify-tuned
2026-07-24T17:19:44.532Z,knifes.jpg,0.839792,verify-tuned
2026-07-24T17:19:44.532Z,nose-plier.jpg,0.781155,verify-tuned
2026-07-24T17:19:44.532Z,precision-screwdrivers.jpg,0.732161,verify-tuned
2026-07-24T17:19:44.532Z,red-screwdrivers.jpg,0.901571,verify-tuned
2026-07-24T17:19:54.106Z,mean,0.813670,shadow-peel-best
2026-07-24T17:19:54.106Z,knifes.jpg,0.839792,shadow-peel-best
2026-07-24T17:19:54.106Z,nose-plier.jpg,0.781155,shadow-peel-best
2026-07-24T17:19:54.106Z,precision-screwdrivers.jpg,0.732161,shadow-peel-best
2026-07-24T17:19:54.106Z,red-screwdrivers.jpg,0.901571,shadow-peel-best
2026-07-24T17:21:20.040Z,mean,0.813670,fine-grid
2026-07-24T17:21:20.040Z,knifes.jpg,0.839792,fine-grid
2026-07-24T17:21:20.040Z,nose-plier.jpg,0.781155,fine-grid
2026-07-24T17:21:20.040Z,precision-screwdrivers.jpg,0.732161,fine-grid
2026-07-24T17:21:20.040Z,red-screwdrivers.jpg,0.901571,fine-grid
2026-07-24T17:23:24.859Z,mean,0.728732,shadow-peel-best
2026-07-24T17:23:24.859Z,knifes.jpg,0.483714,shadow-peel-best
2026-07-24T17:23:24.859Z,nose-plier.jpg,0.745129,shadow-peel-best
2026-07-24T17:23:24.859Z,precision-screwdrivers.jpg,0.857948,shadow-peel-best
2026-07-24T17:23:24.859Z,red-screwdrivers.jpg,0.828139,shadow-peel-best
2026-07-24T17:23:25.004Z,mean,0.728732,verify-tuned
2026-07-24T17:23:25.004Z,knifes.jpg,0.483714,verify-tuned
2026-07-24T17:23:25.004Z,nose-plier.jpg,0.745129,verify-tuned
2026-07-24T17:23:25.004Z,precision-screwdrivers.jpg,0.857948,verify-tuned
2026-07-24T17:23:25.004Z,red-screwdrivers.jpg,0.828139,verify-tuned
2026-07-24T17:23:32.632Z,mean,0.728732,verify-tuned
2026-07-24T17:23:32.632Z,knifes.jpg,0.483714,verify-tuned
2026-07-24T17:23:32.632Z,nose-plier.jpg,0.745129,verify-tuned
2026-07-24T17:23:32.632Z,precision-screwdrivers.jpg,0.857948,verify-tuned
2026-07-24T17:23:32.632Z,red-screwdrivers.jpg,0.828139,verify-tuned
2026-07-24T17:23:33.000Z,mean,0.728732,edge-mask-v2
2026-07-24T17:23:33.000Z,knifes.jpg,0.483714,edge-mask-v2
2026-07-24T17:23:33.000Z,nose-plier.jpg,0.745129,edge-mask-v2
2026-07-24T17:23:33.000Z,precision-screwdrivers.jpg,0.857948,edge-mask-v2
2026-07-24T17:23:33.000Z,red-screwdrivers.jpg,0.828139,edge-mask-v2
2026-07-24T17:25:12.314Z,mean,0.607483,edge-mask-v2
2026-07-24T17:25:12.314Z,knifes.jpg,0.422407,edge-mask-v2
2026-07-24T17:25:12.314Z,nose-plier.jpg,0.648802,edge-mask-v2
2026-07-24T17:25:12.314Z,precision-screwdrivers.jpg,0.644483,edge-mask-v2
2026-07-24T17:25:12.314Z,red-screwdrivers.jpg,0.714242,edge-mask-v2
2026-07-24T17:25:12.593Z,mean,0.607483,verify-tuned
2026-07-24T17:25:12.593Z,knifes.jpg,0.422407,verify-tuned
2026-07-24T17:25:12.593Z,nose-plier.jpg,0.648802,verify-tuned
2026-07-24T17:25:12.593Z,precision-screwdrivers.jpg,0.644483,verify-tuned
